Status,Action,Heroes,Loadouts,Code-traced loadouts,Resolved data-model loadouts,Validation
Resolved,ActivePowerWave,China Hero Ascent,5,0,5,Action-specific Lua/graph model plus recovered record fields
Resolved,AkayukiBatto:Akayuki,Akayuki,8,0,8,Recovered native Fixed modifier
Resolved,AkayukiSlash:BackSlash,Akayuki,8,0,8,Recovered native Fixed modifier
Resolved,AkayukiSlash:Slash,Akayuki,8,0,8,Recovered native Fixed modifier
Resolved,AuraSlash,Gnome; Warrior,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:AlpacaGirl,Mayreel,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Bakeneko,Bakeneko Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:BlueDragon,Blue Dragon,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:BoatracingGirl,Boatracing Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:CaptainRabbit,Captain Rabbit,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:ChinaChef,Lynn,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:ChinaHero,China Hero Ascent,20,0,20,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:CyborgMonk,Cyborg Monk,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Dai,Dai,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:DemonBrother,Demon Brother,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:DemonCeo,Demon Ceo,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:DemonEngineer,Demon Engineer,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:DemonGovernor,Demon Governor,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:DemonInspector,Demon Inspector,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:DemonOperator,Demon Operator,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:DemonPowergirl,Demon Powergirl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:DemonSlayer,Andras,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:DesertelfHunter,Desertelf Hunter,3,0,3,Recovered aggregate TotalDpsMult field
