Exps,Level,ExpUnit,DropExps,DropGold,TotalExps,ArenaMaxDmg,RaidTotalDmg,ConquestTotalDmg,ScarecrowTotalDmg
60,0,10,75,85,60,3716408,1086729,3260187,7174163
120,1,20,79,87,180,3790736,1132009,3396028,7320574
180,2,30,82,89,360,3866551,1179176,3537529,7469973
240,3,40,86,91,600,3943882,1228308,3684926,7622421
300,4,50,89,93,900,4022760,1279488,3838465,7777981
366,5,60,93,95,1266,4103215,1332800,3998401,7936715
432,6,70,96,97,1698,4185279,1388333,4165001,8098689
498,7,80,100,99,2196,4268985,1446180,4338543,8263968
570,8,100,103,101,2766,4354365,1506438,4519316,8432620
642,9,100,107,103,3408,4441452,1569206,4707621,8604714
720,10,100,110,105,4128,4530281,1634590,4903772,8780320
798,11,110,114,107,4926,4620887,1702698,5108096,8959510
882,12,120,117,109,5808,4713305,1773644,5320933,9142357
972,13,140,121,111,6780,4807571,1847546,5542639,9328936
1068,14,150,124,113,7848,4903722,1924527,5773582,9519322
1170,15,160,128,115,9018,5001796,2004716,6014148,9713594
1278,16,180,131,117,10296,5101832,2088246,6264738,9911831
1392,17,190,135,119,11688,5203869,2175256,6525769,10114113
1512,18,200,138,121,13200,5307946,2265892,6797676,10320523
1644,19,210,142,123,14844,5414105,2360304,7080912,10531146
1788,20,220,145,125,16632,5522387,2458650,7375950,10746067
1944,21,230,149,127,18576,5632835,2561094,7683281,10965374
2112,22,250,152,129,20688,5745492,2667806,8003418,11189157
2292,23,270,156,131,22980,5860402,2778965,8336894,11417507
2490,24,300,159,132,25470,5977610,2894755,8684265,11650517
2706,25,320,163,134,28176,6097162,3015370,9046109,11888283
2940,26,350,166,135,31116,6219105,3141010,9423030,12130901
3180,27,380,170,137,34296,6343487,3271885,9815656,12378470
3480,28,390,173,138,37776,6470357,3408214,10224642,12631092
3780,29,410,177,140,41556,6599764,3550223,10650669,12888869
4140,30,430,180,141,45696,6731759,3698149,11094447,13151907
4500,31,470,184,143,50196,6866394,3852239,11556716,13420313
4920,32,510,187,144,55116,7003722,4012749,12038246,13694197
5400,33,560,191,146,60516,7143796,4179947,12539840,13973670
5940,34,580,194,147,66456,7286672,4354111,13062333,14258847
6540,35,640,198,149,72996,7432405,4535532,13606597,14549844
7200,36,710,201,150,80196,7581053,4724512,14173539,14846780
7920,37,780,205,152,88116,7732674,4921367,14764103,15149775
8760,38,810,208,153,96876,7887327,5126424,15379274,15458954
9660,39,890,212,155,106536,8045074,5340025,16020077,15774443
10680,40,990,215,156,117216,8205975,5562526,16687580,16096370
11820,41,1040,219,158,129036,8370095,5794298,17382896,16424867
13140,42,1150,222,159,142176,8537497,6035727,18107183,16760068
14640,43,1220,226,161,156816,8708247,6287216,18861649,17102110
16320,44,1300,229,162,173136,8882412,6549183,19647551,17451133
18240,45,1400,233,164,191376,9060060,6822066,20466199,17807279
20400,46,1500,236,165,211776,9241261,7106319,21318957,18170693
22860,47,1600,240,167,234636,9426086,7402416,22207247,18541523
25680,48,1700,243,168,260316,9614608,7710850,23132549,18919921
28860,49,1900,247,170,289176,9806900,8032135,24096405,19306042
31920,50,2000,250,171,321096,10003038,8366807,25100422,19700043
35040,51,2100,254,173,356136,10203099,8715424,26146273,20102085
38220,52,2200,257,174,394356,10407161,9078567,27235701,20512332
41460,53,2300,261,176,435816,10615304,9456841,28370522,20930951
44760,54,2400,264,177,480576,10827610,9850876,29552627,21358113
48120,55,2600,268,179,528696,11044162,10261329,30783986,21793993
51540,56,2700,271,180,580236,11265045,10688884,32066652,22238768
55020,57,2800,275,182,635256,11490346,11134254,33402762,22692620
58560,58,2900,278,183,693816,11720153,11598181,34794544,23155735
62160,59,3000,282,185,755976,11954556,12081439,36244317,23628301
65820,60,3100,285,186,821796,12193647,12584832,37754497,24110511
69540,61,3200,289,188,891336,12437520,13109200,39327601,24602562
73320,62,3300,292,189,964656,12686270,13655417,40966251,25104655
77160,63,3400,296,191,1041816,12939995,14224393,42673178,25616995
81060,64,3500,299,192,1122876,13198795,14817076,44451227,26139791
85020,65,3600,303,194,1207896,13462771,15434454,46303361,26673256
89040,66,3700,306,195,1296936,13732026,16077556,48232668,27217608
93120,67,3800,310,197,1390056,14006667,16747454,50242362,27773070
97260,68,3900,313,198,1487316,14286800,17417352,52252057,28883993
101460,69,4000,317,200,1588776,14572536,18114046,54342139,30039353
118935,70,4100,320,201,1707711,14863987,18838608,56515825,31240927
123795,71,4200,324,203,1831506,15161267,19592152,58776458,32490564
128722,72,4300,327,204,1960228,15464492,20375838,61127516,33790187
133718,73,4400,331,206,2093946,15773782,21190872,63572617,35141794
135324,74,8600,334,207,2229270,16089258,22038507,66115522,36547466
180000,75,8800,338,209,2409270,16411043,22920047,68760143,38009365
180000,76,9000,341,210,2589270,16739264,23836849,71510549,39529740
180000,77,9200,345,212,2769270,17074049,24790323,74370971,41110930
180000,78,9400,348,213,2949270,17415530,25781936,77345810,42755367
180000,79,10000,352,215,3129270,17763841,26813213,80439642,44465582
180000,80,10000,355,216,3309270,18119118,27885742,83657228,46244205
180000,81,10000,359,218,3489270,18481500,29001172,87003517,48093973
180000,82,10000,362,219,3669270,18851130,30161219,90483658,50017732
180000,83,10000,366,221,3849270,19341259,31367668,94103004,52018441
180000,84,10000,369,222,4029270,19844132,32622375,97867124,54099179
200000,85,10000,373,224,4229270,20360079,33927270,101781809,56263146
200000,86,10000,376,225,4429270,20889441,35284361,105853081,58513672
200000,87,10000,380,227,4629270,21432566,36695735,110087204,60854219
200000,88,10000,383,228,4829270,21989813,38163564,114490692,63288388
200000,89,10000,387,230,5029270,22561548,39690107,119070320,65819924
200000,90,10000,390,231,5229270,23148148,41277711,123833133,68452721
200000,91,10000,394,233,5429270,23750000,42928819,128786458,71190830
200000,92,10000,397,234,5629270,25001055,44645972,133937916,74038463
200000,93,10000,401,236,5829270,26318011,46431811,139295433,77000002
350000,94,10000,404,237,6179270,27704339,48289083,144867250,80080002
350000,95,10000,408,239,6529270,29163693,50220646,150661940,83283202
350000,96,10000,411,240,6879270,30699920,52229472,156688418,86614530
356760,97,10000,415,242,7236030,32317069,54318651,162955955,90079111
