Exps,Level,ExpUnit,DropExps,DropGold,TotalExps,ArenaMaxDmg,RaidTotalDmg,ConquestTotalDmg,ScarecrowTotalDmg
37,0,10,75,85,37,4645509,9164975,13330873,21278175
74,1,20,79,87,111,4738419,9348274,13597490,21703738
111,2,30,82,89,222,4833187,9535239,13869440,22137813
148,3,40,86,91,370,4929851,9725944,14146829,22580569
185,4,50,89,93,555,5028448,9920463,14429766,23032180
226,5,60,93,95,781,5129017,10118872,14718361,23492824
266,6,70,96,97,1047,5231597,10321249,15012728,23962680
307,7,80,100,99,1354,5336229,10527674,15312983,24441934
352,8,100,103,101,1706,5442954,10738227,15619243,24930773
396,9,100,107,103,2102,5551813,10952992,15931628,25429388
444,10,100,110,105,2546,5662849,11172052,16250261,25937976
492,11,110,114,107,3038,5776106,11395493,16575266,26456736
544,12,120,117,109,3582,5891628,11623403,16906771,26985871
599,13,140,121,111,4181,6009461,11855871,17244906,27525588
659,14,150,124,113,4840,6129650,12092988,17589804,28076100
722,15,160,128,115,5562,6252243,12334848,17941600,28637622
788,16,180,131,117,6350,6377288,12581545,18300432,29210374
858,17,190,135,119,7208,6504834,12833176,18666441,29794581
932,18,200,138,121,8140,6634931,13089840,19039770,30390473
1014,19,210,142,123,9154,6767630,13351637,19420565,30998282
1103,20,220,145,125,10257,6902983,13618670,19808976,31618248
1199,21,230,149,127,11456,7041043,13891043,20205156,32250613
1302,22,250,152,129,12758,7181864,14168864,20609259,32895625
1413,23,270,156,131,14171,7325501,14452241,21021444,33553537
1536,24,300,159,132,15707,7472011,14741286,21441873,34224608
1669,25,320,163,134,17376,7621451,15036112,21870710,34909100
1813,26,350,166,135,19189,7773880,15336834,22308124,35607282
1961,27,380,170,137,21150,7929358,15643571,22754286,36319428
2146,28,390,173,138,23296,8087945,15956442,23209372,37045817
2331,29,410,177,140,25627,8249704,16275571,23673559,37786733
2553,30,430,180,141,28180,8414698,16601082,24147030,38542468
2775,31,470,184,143,30955,8582992,16933104,24629971,39313317
3034,32,510,187,144,33989,8754652,17271766,25122570,40099583
3330,33,560,191,146,37319,8929745,17617201,25625021,40901575
3663,34,580,194,147,40982,9108340,17969545,26137521,41719607
